What is your current role in the company?,What is the size of your company?,What is the main focus of your company?,How many years has your company been operating?,To what extent is AI currently used in your company’s strategic planning?  ,Which AI technologies are used in your company?  ,For what purposes is AI used in your company’s strategy?  , AI tools improve the quality of strategic decision-making in our company.  , Which Agile framework(s) does your organization follow?  ,"How often does your team engage in Agile ceremonies (e.g., sprints, stand-ups)?  ",Agile practices in our company are effectively embedded into strategic planning.  , Our organization adapts quickly to change thanks to Agile methodologies.  ,"AI has helped our company respond better to unexpected disruptions (e.g., COVID, tech failures, market shifts).  ",Our company is resilient in the face of market volatility.  ,AI integration has improved our ability to make fast strategic adjustments.  ,Combining AI and Agile has significantly improved our business adaptability.  ,"In your opinion, what is the greatest benefit of using AI in strategy development?  ",Have you encountered any challenges when implementing AI into your Agile processes? Please describe.  
Agile Coach / Scrum Master,11 - 50 employees,Software Development,4 - 6 years,2,"Recommendation Systems, Computer Vision","Decision-making support, Risk management",1,Lean Startup,3,2,1,2,4,1,1,Enhanced predictive capabilities in product development.,Team lacks the technical skills to fully utilize AI.
Product Manager,Over 250 employees,"HealthTech, E-commerce",1 - 3 years,2,"Recommendation Systems, Computer Vision","Market analysis, Decision-making support, Risk management",4,Kanban,3,2,2,4,3,4,1,Automation of repetitive planning tasks.,Integrating AI tools with existing workflows is difficult.
Agile Coach / Scrum Master,1 - 10 employees,"EdTech, AI/ML Services",1 - 3 years,1,"Natural Language Processing, Chatbots / Virtual Assistants","Market analysis, Customer segmentation, Product development, Forecasting trends",1,We don’t use Agile,3,5,4,4,1,2,1,Stronger alignment between strategy and execution.,Team lacks the technical skills to fully utilize AI.
Product Manager,51 - 100 employees,AI/ML Services,Less than 1 year,2,"Machine Learning, Natural Language Processing, Computer Vision","Market analysis, Customer segmentation, Product development, Forecasting trends",1,Lean Startup,2,3,5,5,1,5,4,Improved decision-making through real-time data insights.,Integrating AI tools with existing workflows is difficult.
Agile Coach / Scrum Master,51 - 100 employees,"FinTech, AI/ML Services",1 - 3 years,4,We do not use AI,We do not use AI in strategic contexts,4,Scrum,5,4,3,5,5,1,1,Enhanced predictive capabilities in product development.,Data quality issues affect AI model reliability.
Agile Coach / Scrum Master,Over 250 employees,"HealthTech, E-commerce",More than 6 years,4,"Machine Learning, Predictive Analytics","Market analysis, Customer segmentation, Product development, Forecasting trends",2,SAFe (Scaled Agile Framework),3,2,3,5,4,3,4,: Stronger alignment between strategy and execution.,Resistance to change from leadership.
Product Manager,1 - 10 employees,Software Development,1 - 3 years,3,"Machine Learning, Natural Language Processing, Computer Vision","Decision-making support, Risk management",3,Kanban,3,5,4,3,3,1,4,Improved decision-making through real-time data insights.,Team lacks the technical skills to fully utilize AI
Innovation Officer,51 - 100 employees,Software Development,1 - 3 years,5,"Chatbots / Virtual Assistants, Recommendation Systems",We do not use AI in strategic contexts,3,"Scrum, Kanban",4,3,4,4,2,2,1, Improved decision-making through real-time data insights.,Integrating AI tools with existing workflows is difficult.
Innovation Officer,Over 250 employees,"HealthTech, E-commerce",Less than 1 year,3,"Recommendation Systems, Computer Vision","Customer segmentation, Product development",1,"Scrum, Kanban",5,1,3,5,4,5,4,Automation of repetitive planning tasks.,Integrating AI tools with existing workflows is difficult.
CEO / CTO,1 - 10 employees,"Software Development, FinTech, AI/ML Services",More than 6 years,1,We do not use AI,"Decision-making support, Risk management",5,Lean Startup,2,3,4,4,3,5,4,Improved decision-making through real-time data insights., It’s hard to align agile flexibility with rigid AI model structures.
CEO / CTO,1 - 10 employees,Software Development,Less than 1 year,4,"Natural Language Processing, Chatbots / Virtual Assistants","Market analysis, Forecasting trends",2,SAFe (Scaled Agile Framework),3,1,3,1,1,2,1,Automation of repetitive planning tasks.,Data quality issues affect AI model reliability.
Product Manager,1 - 10 employees,"HealthTech, E-commerce",More than 6 years,5,"Machine Learning, Natural Language Processing, Computer Vision","Market analysis, Customer segmentation, Product development, Forecasting trends",4,Scrum,1,3,3,1,1,4,3,Stronger alignment between strategy and execution.,It’s hard to align agile flexibility with rigid AI model structures.
Product Manager,101 - 250 employees,"Software Development, FinTech, AI/ML Services",Less than 1 year,2,"Chatbots / Virtual Assistants, Recommendation Systems","Market analysis, Customer segmentation, Product development, Forecasting trends",3,SAFe (Scaled Agile Framework),2,5,5,5,3,4,2,Automation of repetitive planning tasks.,Resistance to change from leadership
CEO / CTO,101 - 250 employees,"Software Development, FinTech, AI/ML Services",More than 6 years,2,"Chatbots / Virtual Assistants, Recommendation Systems","Market analysis, Forecasting trends",5,Kanban,2,2,1,2,1,1,4,Faster response to market trends and customer needs., It’s hard to align agile flexibility with rigid AI model structures.
Product Manager,11 - 50 employees,Software Development,1 - 3 years,3,"Machine Learning, Predictive Analytics","Decision-making support, Risk management",4,Kanban,1,5,1,1,5,5,4,Faster response to market trends and customer needs.,Team lacks the technical skills to fully utilize AI.
Product Manager,51 - 100 employees,"Software Development, FinTech, AI/ML Services",More than 6 years,4,"Recommendation Systems, Computer Vision",We do not use AI in strategic contexts,5,SAFe (Scaled Agile Framework),1,4,2,4,3,1,1, Stronger alignment between strategy and execution.,Integrating AI tools with existing workflows is difficult.
CEO / CTO,Over 250 employees,"FinTech, AI/ML Services",4 - 6 years,4,"Machine Learning, Predictive Analytics","Market analysis, Customer segmentation, Product development, Forecasting trends",2,We don’t use Agile,4,1,1,1,2,5,5,Faster response to market trends and customer needs., It’s hard to align agile flexibility with rigid AI model structures.
Product Manager,Over 250 employees,Software Development,4 - 6 years,2,"Natural Language Processing, Chatbots / Virtual Assistants","Customer segmentation, Forecasting trends",2,We don’t use Agile,4,3,1,4,1,2,5,Faster response to market trends and customer needs.,It’s hard to align agile flexibility with rigid AI model structures.
CEO / CTO,Over 250 employees,"HealthTech, E-commerce",4 - 6 years,3,"Recommendation Systems, Computer Vision","Market analysis, Customer segmentation, Product development, Forecasting trends",3,SAFe (Scaled Agile Framework),1,4,2,1,5,4,3,Automation of repetitive planning tasks,Resistance to change from leadership
CEO / CTO,101 - 250 employees,"Software Development, FinTech, AI/ML Services",1 - 3 years,4,"Recommendation Systems, Computer Vision","Market analysis, Forecasting trends",4,We don’t use Agile,1,2,2,4,5,5,3,Automation of repetitive planning tasks.,Resistance to change from leadership.
CEO / CTO,11 - 50 employees,"HealthTech, E-commerce",4 - 6 years,2,"Machine Learning, Natural Language Processing, Computer Vision","Market analysis, Forecasting trends",2,Scrum,3,3,1,1,4,5,2,Faster response to market trends and customer needs,Team lacks the technical skills to fully utilize AI.
Agile Coach / Scrum Master,1 - 10 employees,"HealthTech, E-commerce",Less than 1 year,1,"Machine Learning, Natural Language Processing, Computer Vision",We do not use AI in strategic contexts,1,Kanban,4,1,2,2,5,4,2,Automation of repetitive planning tasks.,Resistance to change from leadership.
Innovation Officer,Over 250 employees,"Software Development, FinTech, AI/ML Services",More than 6 years,4,We do not use AI,"Decision-making support, Risk management",4,Scrum,3,5,5,1,1,1,4,Stronger alignment between strategy and execution., It’s hard to align agile flexibility with rigid AI model structures.
Innovation Officer,Over 250 employees,Software Development,1 - 3 years,3,"Machine Learning, Predictive Analytics",We do not use AI in strategic contexts,3,Kanban,5,4,3,2,1,1,4,Improved decision-making through real-time data insights.,Team lacks the technical skills to fully utilize AI.
Innovation Officer,101 - 250 employees,"HealthTech, E-commerce",More than 6 years,2,"Machine Learning, Predictive Analytics","Decision-making support, Risk management",1,We don’t use Agile,2,4,5,2,3,3,4,Improved decision-making through real-time data insights.,Integrating AI tools with existing workflows is difficult.
CEO / CTO,Over 250 employees,"EdTech, AI/ML Services",More than 6 years,4,"Natural Language Processing, Chatbots / Virtual Assistants","Decision-making support, Risk management",3,Kanban,4,3,5,5,4,5,5, Enhanced predictive capabilities in product development., Team lacks the technical skills to fully utilize AI.
Product Manager,51 - 100 employees,Software Development,1 - 3 years,2,"Machine Learning, Computer Vision","Market analysis, Decision-making support, Forecasting trends",3,We don’t use Agile,1,2,1,3,2,4,2,"It accelerates data analysis, saving time and improving accuracy.","Yes, AI workflows don’t always fit into 2-week sprints."
CEO / CTO,11 - 50 employees,"FinTech, AI/ML Services",1 - 3 years,3,"Machine Learning, Computer Vision","Market analysis, Forecasting trends",3,Kanban,3,1,3,4,2,3,1,AI helps predict trends and risks before they occur,Hard to write clear user stories or acceptance criteria for AI models.
Founder / Co - Founder,Over 250 employees,"Software Development, FinTech, HealthTech",More than 6 years,4,"Machine Learning, Predictive Analytics, Computer Vision","Market analysis, Customer segmentation, Risk management, Forecasting trends",4,SAFe (Scaled Agile Framework),3,4,1,4,1,4,3,It enables data-driven decision-making.,Data quality issues often delay model training.
Product Manager,51 - 100 employees,"Software Development, HealthTech",1 - 3 years,3,"Chatbots / Virtual Assistants, Computer Vision","Market analysis, Customer segmentation, Risk management",2,Scrum,5,1,3,2,3,1,5,Supports real-time scenario planning and forecasting.,"Team members may lack AI understanding, causing misalignment."
CEO / CTO,Over 250 employees,"FinTech, EdTech, AI/ML Services",More than 6 years,4,"Machine Learning, Chatbots / Virtual Assistants, Computer Vision","Decision-making support, Risk management, Forecasting trends",4,SAFe (Scaled Agile Framework),4,1,1,3,1,2,4,Allows for smarter resource allocation and prioritization.,"AI projects often require longer experimentation cycles, conflicting with Agile’s fast delivery focus."
Innovation Officer,Over 250 employees,"FinTech, AI/ML Services",1 - 3 years,3,"Natural Language Processing, Chatbots / Virtual Assistants",We do not use AI in strategic contexts,1,Lean Startup,2,2,1,1,1,5,4,Automation of repetitive planning tasks,Team lacks the technical skills to fully utilize AI
Strategy / Operations Manager,11 - 50 employees,Software Development,4 - 6 years,4,We do not use AI,"Market analysis, Forecasting trends",4,SAFe (Scaled Agile Framework),3,5,2,5,4,5,4,Stronger alignment between strategy and execution,Data quality issues affect AI model reliability
Strategy / Operations Manager,11 - 50 employees,AI/ML Services,Less than 1 year,4,"Natural Language Processing, Chatbots / Virtual Assistants",We do not use AI in strategic contexts,4,Lean Startup,3,2,5,3,5,3,5,Stronger alignment between strategy and execution.,Resistance to change from leadership.
Strategy / Operations Manager,51 - 100 employees,Software Development,Less than 1 year,2,"Machine Learning, Natural Language Processing, Computer Vision","Customer segmentation, Product development",4,We don’t use Agile,4,5,3,1,5,2,5,Stronger alignment between strategy and execution.,Data quality issues affect AI model reliability.
Innovation Officer,101 - 250 employees,"HealthTech, E-commerce",More than 6 years,4,"Natural Language Processing, Chatbots / Virtual Assistants","Market analysis, Forecasting trends",4,Lean Startup,4,2,3,1,4,2,1,Improved decision-making through real-time data insights,It’s hard to align agile flexibility with rigid AI model structures.
Founder / Co - Founder,Over 250 employees,Software Development,1 - 3 years,5,"Natural Language Processing, Chatbots / Virtual Assistants","Market analysis, Forecasting trends",3,SAFe (Scaled Agile Framework),1,4,1,5,5,4,2,Automation of repetitive planning tasks.,Resistance to change from leadership.
Innovation Officer,101 - 250 employees,"Software Development, FinTech, AI/ML Services",4 - 6 years,4,"Machine Learning, Natural Language Processing, Computer Vision","Customer segmentation, Product development",1,"Scrum, Kanban",2,3,2,1,3,2,1,Improved decision-making through real-time data insights.,Integrating AI tools with existing workflows is difficult.
Strategy / Operations Manager,Over 250 employees,"HealthTech, E-commerce",More than 6 years,1,We do not use AI,"Market analysis, Forecasting trends",1,SAFe (Scaled Agile Framework),4,3,5,1,1,5,1,Enhanced predictive capabilities in product development.,Integrating AI tools with existing workflows is difficult.
CEO / CTO,11 - 50 employees,"Software Development, FinTech, AI/ML Services",4 - 6 years,3,"Natural Language Processing, Chatbots / Virtual Assistants","Decision-making support, Product development",4,"Scrum, Kanban",2,2,1,5,4,3,1,Improved decision-making through real-time data insights.,It’s hard to align agile flexibility with rigid AI model structures.
Strategy / Operations Manager,101 - 250 employees,"FinTech, AI/ML Services",1 - 3 years,2,"Recommendation Systems, Computer Vision",We do not use AI in strategic contexts,4,We don’t use Agile,5,4,5,4,5,3,4,Stronger alignment between strategy and execution.,Data quality issues affect AI model reliability.
Agile Coach / Scrum Master,51 - 100 employees,"Software Development, FinTech, AI/ML Services",Less than 1 year,4,"Natural Language Processing, Chatbots / Virtual Assistants","Decision-making support, Risk management",2,Kanban,4,5,5,3,2,1,2,Faster response to market trends and customer needs.,Team lacks the technical skills to fully utilize AI.
Agile Coach / Scrum Master,1 - 10 employees,"Software Development, FinTech, AI/ML Services",4 - 6 years,1,We do not use AI,"Customer segmentation, Product development",1,"Scrum, Kanban",4,5,4,2,2,1,4,Faster response to market trends and customer needs.,Integrating AI tools with existing workflows is difficult.
Strategy / Operations Manager,101 - 250 employees,"EdTech, AI/ML Services",Less than 1 year,5,"Chatbots / Virtual Assistants, Recommendation Systems","Decision-making support, Risk management",4,SAFe (Scaled Agile Framework),1,3,1,3,4,3,3,Improved decision-making through real-time data insights.,Resistance to change from leadership.
Strategy / Operations Manager,101 - 250 employees,HealthTech,1 - 3 years,5,We do not use AI,"Market analysis, Customer segmentation, Product development, Forecasting trends",2,Kanban,3,5,5,3,1,2,5,Stronger alignment between strategy and execution,Team lacks the technical skills to fully utilize AI.
Product Manager,51 - 100 employees,"HealthTech, E-commerce",1 - 3 years,3,"Machine Learning, Natural Language Processing, Computer Vision",We do not use AI in strategic contexts,4,We don’t use Agile,3,5,4,3,5,2,5,Improved decision-making through real-time data insights,: It’s hard to align agile flexibility with rigid AI model structures.
Agile Coach / Scrum Master,1 - 10 employees,"HealthTech, E-commerce",More than 6 years,5,"Natural Language Processing, Chatbots / Virtual Assistants","Market analysis, Customer segmentation, Product development, Forecasting trends",3,Kanban,4,5,2,1,3,5,3,Automation of repetitive planning tasks.,: It’s hard to align agile flexibility with rigid AI model structures.
Innovation Officer,101 - 250 employees,"HealthTech, E-commerce",4 - 6 years,5,"Recommendation Systems, Computer Vision","Decision-making support, Risk management",3,Scrum,3,4,5,1,2,4,3,Stronger alignment between strategy and execution.,Data quality issues affect AI model reliability.
Product Manager,101 - 250 employees,"FinTech, AI/ML Services",1 - 3 years,5,"Chatbots / Virtual Assistants, Recommendation Systems","Market analysis, Forecasting trends",2,We don’t use Agile,3,5,2,4,3,4,4,Stronger alignment between strategy and execution.,Team lacks the technical skills to fully utilize AI.
Product Manager,Over 250 employees,"HealthTech, E-commerce",1 - 3 years,5,"Chatbots / Virtual Assistants, Recommendation Systems","Decision-making support, Risk management",4,Scrum,1,3,4,2,2,4,4,Stronger alignment between strategy and execution.,Integrating AI tools with existing workflows is difficult
Founder / Co - Founder,Over 250 employees,"FinTech, AI/ML Services",1 - 3 years,2,"Machine Learning, Predictive Analytics",We do not use AI in strategic contexts,3,We don’t use Agile,3,4,4,3,5,2,3,Faster response to market trends and customer needs.,Data quality issues affect AI model reliability.
CEO / CTO,51 - 100 employees,"Software Development, FinTech, AI/ML Services",More than 6 years,1,"Chatbots / Virtual Assistants, Recommendation Systems","Market analysis, Forecasting trends",4,Scrum,5,2,4,2,1,4,4,Stronger alignment between strategy and execution.,It’s hard to align agile flexibility with rigid AI model structures.
CEO / CTO,101 - 250 employees,"EdTech, AI/ML Services",1 - 3 years,5,"Recommendation Systems, Computer Vision","Market analysis, Forecasting trends",5,"Scrum, Kanban",1,2,3,2,5,5,4,Improved decision-making through real-time data insights,Resistance to change from leadership
Agile Coach / Scrum Master,Over 250 employees,AI/ML Services,Less than 1 year,1,"Machine Learning, Predictive Analytics",We do not use AI in strategic contexts,3,Scrum,2,2,5,5,4,3,5,: Improved decision-making through real-time data insights,It’s hard to align agile flexibility with rigid AI model structures.
CEO / CTO,101 - 250 employees,AI/ML Services,4 - 6 years,5,"Machine Learning, Natural Language Processing, Computer Vision","Market analysis, Forecasting trends",4,SAFe (Scaled Agile Framework),5,1,1,5,3,3,4,Faster response to market trends and customer needs,Integrating AI tools with existing workflows is difficult.
Product Manager,11 - 50 employees,AI/ML Services,4 - 6 years,1,Computer Vision,"Decision-making support, Risk management",2,"Scrum, Kanban",3,1,3,1,2,3,5, Enhanced predictive capabilities in product development.,Data quality issues affect AI model reliability.
Innovation Officer,101 - 250 employees,"HealthTech, E-commerce",Less than 1 year,5,We do not use AI,"Decision-making support, Risk management",1,"Scrum, Kanban",3,3,2,1,3,5,1,Stronger alignment between strategy and execution,Data quality issues affect AI model reliability
Product Manager,Over 250 employees,"FinTech, AI/ML Services",4 - 6 years,2,"Machine Learning, Natural Language Processing, Computer Vision","Customer segmentation, Product development",4,"Scrum, Kanban",4,5,4,5,2,3,4,Stronger alignment between strategy and execution,Data quality issues affect AI model reliability
Agile Coach / Scrum Master,101 - 250 employees,"HealthTech, E-commerce",More than 6 years,1,"Chatbots / Virtual Assistants, Recommendation Systems","Decision-making support, Risk management",4,Scrum,5,1,1,5,1,2,2,: Improved decision-making through real-time data insights,Data quality issues affect AI model reliability
Agile Coach / Scrum Master,1 - 10 employees,"FinTech, AI/ML Services",More than 6 years,2,"Chatbots / Virtual Assistants, Recommendation Systems","Customer segmentation, Product development",1,We don’t use Agile,1,3,4,2,2,4,4,Automation of repetitive planning tasks,Data quality issues affect AI model reliability.
Founder / Co - Founder,1 - 10 employees,AI/ML Services,1 - 3 years,1,Chatbots / Virtual Assistants,"Decision-making support, Risk management",4,We don’t use Agile,4,4,4,1,1,5,1,Automation of repetitive planning tasks.,Data quality issues affect AI model reliability.
CEO / CTO,Over 250 employees,"FinTech, AI/ML Services",4 - 6 years,5,Computer Vision,"Market analysis, Forecasting trends",3,"Scrum, Kanban",3,3,3,1,3,3,2, Automation of repetitive planning tasks.,Integrating AI tools with existing workflows is difficult.
Agile Coach / Scrum Master,11 - 50 employees,Software Development,4 - 6 years,3,We do not use AI,We do not use AI in strategic contexts,1,We don’t use Agile,3,5,2,2,5,3,4,Improved decision-making through real-time data insights.,Data quality issues affect AI model reliability.
Product Manager,101 - 250 employees,"HealthTech, E-commerce",1 - 3 years,3,"Recommendation Systems, Computer Vision","Market analysis, Customer segmentation, Product development, Forecasting trends",5,"Scrum, Kanban",4,2,2,3,4,2,5,Improved decision-making through real-time data insights,Team lacks the technical skills to fully utilize AI
Strategy / Operations Manager,1 - 10 employees,"HealthTech, E-commerce",More than 6 years,5,"Natural Language Processing, Chatbots / Virtual Assistants","Decision-making support, Risk management",2,We don’t use Agile,2,1,5,1,3,3,5,Automation of repetitive planning tasks.,Data quality issues affect AI model reliability.
Strategy / Operations Manager,11 - 50 employees,AI/ML Services,More than 6 years,2,"Recommendation Systems, Computer Vision","Market analysis, Forecasting trends",5,Lean Startup,3,1,3,1,4,2,3,Stronger alignment between strategy and execution,Team lacks the technical skills to fully utilize AI
Product Manager,51 - 100 employees,"EdTech, AI/ML Services",1 - 3 years,3,"Machine Learning, Natural Language Processing, Computer Vision","Customer segmentation, Product development",4,"Scrum, Kanban",1,3,4,4,5,2,2,Enhanced predictive capabilities in product development,Integrating AI tools with existing workflows is difficult
Product Manager,1 - 10 employees,Software Development,1 - 3 years,3,"Machine Learning, Natural Language Processing, Computer Vision","Decision-making support, Risk management",3,Kanban,3,5,4,3,3,1,4,Improved decision-making through real-time data insights.,Team lacks the technical skills to fully utilize AI.
Agile Coach / Scrum Master,51 - 100 employees,Software Development,1 - 3 years,5,"Chatbots / Virtual Assistants, Recommendation Systems",We do not use AI in strategic contexts,3,"Scrum, Kanban",4,3,4,4,2,2,1,: Improved decision-making through real-time data insights,Integrating AI tools with existing workflows is difficult.
CEO / CTO,Over 250 employees,"FinTech, AI/ML Services",4 - 6 years,5,We do not use AI,"Decision-making support, Risk management",4,"Scrum, Kanban",3,4,2,4,5,2,1,Faster response to market trends and customer needs.,Team lacks the technical skills to fully utilize AI.
Strategy / Operations Manager,Over 250 employees,"HealthTech, E-commerce",Less than 1 year,3,"Recommendation Systems, Computer Vision","Customer segmentation, Product development",1,"Scrum, Kanban",5,1,3,5,4,5,4,Automation of repetitive planning tasks,Integrating AI tools with existing workflows is difficult.
CEO / CTO,1 - 10 employees,"Software Development, FinTech, AI/ML Services",More than 6 years,1,We do not use AI,"Decision-making support, Risk management",5,Lean Startup,2,3,4,4,3,5,4,Improved decision-making through real-time data insights,It’s hard to align agile flexibility with rigid AI model structures.
CEO / CTO,1 - 10 employees,Software Development,Less than 1 year,4,"Natural Language Processing, Chatbots / Virtual Assistants","Market analysis, Forecasting trends",2,SAFe (Scaled Agile Framework),3,1,3,1,1,2,1,Automation of repetitive planning tasks,Data quality issues affect AI model reliability.
Product Manager,1 - 10 employees,"HealthTech, E-commerce",More than 6 years,5,"Machine Learning, Natural Language Processing, Computer Vision","Market analysis, Customer segmentation, Product development, Forecasting trends",4,Scrum,1,3,3,1,1,4,3,Stronger alignment between strategy and execution,It’s hard to align agile flexibility with rigid AI model structures.
Product Manager,101 - 250 employees,"Software Development, FinTech, AI/ML Services",Less than 1 year,2,"Chatbots / Virtual Assistants, Recommendation Systems","Market analysis, Customer segmentation, Product development, Forecasting trends",3,SAFe (Scaled Agile Framework),2,5,5,3,4,2,3,: Automation of repetitive planning tasks.,Resistance to change from leadership.
CEO / CTO,101 - 250 employees,"Software Development, FinTech, AI/ML Services",More than 6 years,2,"Chatbots / Virtual Assistants, Recommendation Systems","Market analysis, Forecasting trends",5,Kanban,2,2,1,2,1,1,4,Faster response to market trends and customer needs,: It’s hard to align agile flexibility with rigid AI model structures.
Product Manager,11 - 50 employees,Software Development,1 - 3 years,3,"Machine Learning, Predictive Analytics","Decision-making support, Risk management",4,Kanban,1,5,1,1,5,5,4,: Faster response to market trends and customer needs.,Team lacks the technical skills to fully utilize AI.
Product Manager,51 - 100 employees,"Software Development, FinTech, AI/ML Services",More than 6 years,4,"Recommendation Systems, Computer Vision",We do not use AI in strategic contexts,5,SAFe (Scaled Agile Framework),1,4,2,4,3,1,1,Stronger alignment between strategy and execution,Integrating AI tools with existing workflows is difficult
CEO / CTO,Over 250 employees,"FinTech, AI/ML Services",4 - 6 years,4,"Machine Learning, Predictive Analytics","Market analysis, Customer segmentation, Product development, Forecasting trends",2,We don’t use Agile,4,1,1,1,2,5,5,Faster response to market trends and customer needs.,It’s hard to align agile flexibility with rigid AI model structures.
Product Manager,Over 250 employees,Software Development,4 - 6 years,2,"Natural Language Processing, Chatbots / Virtual Assistants","Market analysis, Forecasting trends",2,We don’t use Agile,4,3,1,1,4,1,2,Faster response to market trends and customer needs.,It’s hard to align agile flexibility with rigid AI model structures.
CEO / CTO,Over 250 employees,"HealthTech, E-commerce",4 - 6 years,3,"Recommendation Systems, Computer Vision","Market analysis, Customer segmentation, Product development, Forecasting trends",3,SAFe (Scaled Agile Framework),1,4,2,1,5,4,3,Automation of repetitive planning tasks.,Resistance to change from leadership.
CEO / CTO,101 - 250 employees,"Software Development, FinTech, AI/ML Services",1 - 3 years,4,"Recommendation Systems, Computer Vision","Market analysis, Forecasting trends",4,We don’t use Agile,1,2,2,4,5,5,3,Automation of repetitive planning tasks.,Resistance to change from leadership
CEO / CTO,11 - 50 employees,"HealthTech, E-commerce",4 - 6 years,2,"Machine Learning, Natural Language Processing, Computer Vision","Market analysis, Forecasting trends",2,Scrum,3,3,1,1,4,5,2,Faster response to market trends and customer needs.,Team lacks the technical skills to fully utilize AI.
Agile Coach / Scrum Master,1 - 10 employees,"HealthTech, E-commerce",Less than 1 year,1,"Machine Learning, Natural Language Processing, Computer Vision",We do not use AI in strategic contexts,1,Kanban,4,1,2,2,5,4,2,Automation of repetitive planning tasks,Resistance to change from leadership
Product Manager,Over 250 employees,"Software Development, FinTech, AI/ML Services",More than 6 years,4,We do not use AI,"Decision-making support, Risk management",4,Scrum,3,5,5,1,1,1,4,Stronger alignment between strategy and execution.,It’s hard to align agile flexibility with rigid AI model structures.
Agile Coach / Scrum Master,Over 250 employees,Software Development,1 - 3 years,3,"Machine Learning, Predictive Analytics",We do not use AI in strategic contexts,3,Kanban,5,4,3,2,1,1,4,Improved decision-making through real-time data insights,Team lacks the technical skills to fully utilize AI
Agile Coach / Scrum Master,101 - 250 employees,"HealthTech, E-commerce",More than 6 years,2,"Machine Learning, Predictive Analytics","Decision-making support, Risk management",1,We don’t use Agile,2,4,5,2,3,3,4,Improved decision-making through real-time data insights.,Integrating AI tools with existing workflows is difficult.
CEO / CTO,Over 250 employees,"EdTech, AI/ML Services",More than 6 years,4,"Natural Language Processing, Chatbots / Virtual Assistants","Decision-making support, Risk management",3,Kanban,4,3,5,5,4,5,5,Enhanced predictive capabilities in product development,Team lacks the technical skills to fully utilize AI.
Strategy / Operations Manager,Over 250 employees,FinTech,1 - 3 years,3,"Natural Language Processing, Chatbots / Virtual Assistants",We do not use AI in strategic contexts,1,Lean Startup,2,2,1,1,1,5,4,Automation of repetitive planning tasks.,Team lacks the technical skills to fully utilize AI.
Strategy / Operations Manager,11 - 50 employees,Software Development,4 - 6 years,4,We do not use AI,"Market analysis, Forecasting trends",4,SAFe (Scaled Agile Framework),3,5,2,5,4,5,4,Stronger alignment between strategy and execution,Data quality issues affect AI model reliability.
Product Manager,Over 250 employees,"FinTech, AI/ML Services",1 - 3 years,1,"Recommendation Systems, Computer Vision","Customer segmentation, Product development",1,Kanban,4,3,2,3,2,1,1,Improved decision-making through real-time data insights,Resistance to change from leadership.
CEO / CTO,101 - 250 employees,E-commerce,1 - 3 years,1,We do not use AI,"Market analysis, Customer segmentation, Product development, Forecasting trends",3,We don’t use Agile,4,1,2,4,5,4,4,Automation of repetitive planning tasks,Team lacks the technical skills to fully utilize AI
Product Manager,101 - 250 employees,E-commerce,4 - 6 years,2,"Machine Learning, Predictive Analytics","Market analysis, Customer segmentation, Product development, Forecasting trends",4,SAFe (Scaled Agile Framework),3,2,5,2,5,2,4,Automation of repetitive planning tasks,Resistance to change from leadership
Agile Coach / Scrum Master,1 - 10 employees,Software Development,1 - 3 years,2,"Natural Language Processing, Chatbots / Virtual Assistants",We do not use AI in strategic contexts,5,Lean Startup,1,1,2,5,4,5,2,Improved decision-making through real-time data insights.,Team lacks the technical skills to fully utilize AI.
Founder / Co - Founder,Over 250 employees,"EdTech, AI/ML Services",More than 6 years,5,"Machine Learning, Natural Language Processing, Computer Vision","Decision-making support, Risk management",3,We don’t use Agile,2,4,1,2,5,2,2,Faster response to market trends and customer needs.,It’s hard to align agile flexibility with rigid AI model structures.
Agile Coach / Scrum Master,Over 250 employees,"HealthTech, E-commerce",More than 6 years,2,"Recommendation Systems, Computer Vision","Customer segmentation, Product development",3,Scrum,5,4,3,5,5,2,5,Improved decision-making through real-time data insights,It’s hard to align agile flexibility with rigid AI model structures.
Agile Coach / Scrum Master,101 - 250 employees,"HealthTech, E-commerce",1 - 3 years,2,"Chatbots / Virtual Assistants, Recommendation Systems","Market analysis, Customer segmentation, Product development, Forecasting trends",4,SAFe (Scaled Agile Framework),4,5,1,3,2,5,2,Automation of repetitive planning tasks,Resistance to change from leadership.
Strategy / Operations Manager,1 - 10 employees,"HealthTech, E-commerce",More than 6 years,1,"Chatbots / Virtual Assistants, Recommendation Systems","Customer segmentation, Product development",3,SAFe (Scaled Agile Framework),2,1,3,4,2,3,5,Improved decision-making through real-time data insights,It’s hard to align agile flexibility with rigid AI model structures.
Founder / Co - Founder,51 - 100 employees,"HealthTech, E-commerce",More than 6 years,2,"Natural Language Processing, Chatbots / Virtual Assistants","Customer segmentation, Product development",1,Scrum,5,4,5,2,5,2,3,Stronger alignment between strategy and execution,: Integrating AI tools with existing workflows is difficult.
CEO / CTO,101 - 250 employees,AI/ML Services,More than 6 years,3,"Machine Learning, Natural Language Processing, Computer Vision",We do not use AI in strategic contexts,2,Lean Startup,5,4,1,2,3,1,1,Faster response to market trends and customer needs,It’s hard to align agile flexibility with rigid AI model structures.
Strategy / Operations Manager,1 - 10 employees,"FinTech, AI/ML Services",Less than 1 year,4,"Machine Learning, Predictive Analytics",We do not use AI in strategic contexts,4,Kanban,4,1,1,4,2,3,5,Enhanced predictive capabilities in product development,Data quality issues affect AI model reliability
